"","Status.of.existing.checking.account","Duration.in.months","Credit.history","Purpose","Credit.amount","Savings.account.bonds","Present.employment.since","Installment.rate.in.percentage.of.disposable.income","Personal.status.and.sex","Other.debtors...guarantors","Present.residence.since","Property","Age.in.years","Other.installment.plans","Housing","Number.of.existing.credits.at.this.bank","Job","Number.of.people.being.liable.to.provide.maintenance.for","Telephone","Foreign.worker","Score"
"129","0 - 200",12,"critical account/ other credits existing (not at this bank)","car (used)",1860,"less than 100","Unemployed",4,"male (single)","none",2,"car or other",34,"none","own",2,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name","Yes","good"
"130","Negative",12,"critical account/ other credits existing (not at this bank)","car (new)",3499,"less than 100","1 to 4 years",3,"female (divorced/separated/married)","co-Applicant",2,"real estate",29,"none","own",2,"skilled employee / official",1,"none","Yes","bad"
"131","0 - 200",48,"existing credits paid back duly till now","car (new)",8487,"unknown / no savings account","4 to 7 years",1,"female (divorced/separated/married)","none",2,"car or other",24,"none","own",1,"skilled employee / official",1,"none","Yes","good"
"132","Negative",36,"delay in paying off in the past","education",6887,"less than 100","1 to 4 years",4,"male (single)","none",3,"building society savings agreement/ life insurance",29,"stores","own",1,"skilled employee / official",1,"yes, registered under the customers name","Yes","bad"
"133","No checking account",15,"existing credits paid back duly till now","furniture/equipment",2708,"less than 100","less than 1 year",2,"male (single)","none",3,"building society savings agreement/ life insurance",27,"bank","own",2,"unskilled - resident",1,"none","Yes","good"
"134","No checking account",18,"existing credits paid back duly till now","furniture/equipment",1984,"less than 100","1 to 4 years",4,"male (single)","none",4,"unknown / no property",47,"bank","for free",2,"skilled employee / official",1,"none","Yes","good"
"135","No checking account",60,"existing credits paid back duly till now","radio/television",10144,"100 to 500","4 to 7 years",2,"female (divorced/separated/married)","none",4,"real estate",21,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name","Yes","good"
"136","No checking account",12,"critical account/ other credits existing (not at this bank)","radio/television",1240,"unknown / no savings account","more than 7 years",4,"female (divorced/separated/married)","none",2,"real estate",38,"none","own",2,"skilled employee / official",1,"yes, registered under the customers name","Yes","good"
"137","No checking account",27,"delay in paying off in the past","car (used)",8613,"more than 1000","1 to 4 years",2,"male (single)","none",2,"car or other",27,"none","own",2,"skilled employee / official",1,"none","Yes","good"
"138","0 - 200",12,"existing credits paid back duly till now","radio/television",766,"500 to 1000","1 to 4 years",4,"male (single)","none",3,"real estate",66,"none","own",1,"unskilled - resident",1,"none","Yes","bad"
"139","0 - 200",15,"critical account/ other credits existing (not at this bank)","radio/television",2728,"unknown / no savings account","4 to 7 years",4,"male (single)","guarantor",2,"real estate",35,"bank","own",3,"skilled employee / official",1,"yes, registered under the customers name","Yes","good"
"140","Over 200",12,"existing credits paid back duly till now","radio/television",1881,"less than 100","1 to 4 years",2,"female (divorced/separated/married)","none",2,"car or other",44,"none","rent",1,"unskilled - resident",1,"yes, registered under the customers name","Yes","good"
"141","Over 200",6,"existing credits paid back duly till now","car (new)",709,"more than 1000","less than 1 year",2,"male (married/widowed)","none",2,"real estate",27,"none","own",1,"unemployed / unskilled - non-resident",1,"none","No","good"
"142","0 - 200",36,"existing credits paid back duly till now","radio/television",4795,"less than 100","less than 1 year",4,"female (divorced/separated/married)","none",1,"unknown / no property",30,"none","own",1,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name","Yes","good"
"143","Negative",27,"existing credits paid back duly till now","radio/television",3416,"less than 100","1 to 4 years",3,"male (single)","none",2,"car or other",27,"none","own",1,"management / self-employed / highly qualified employee / officer",1,"none","Yes","good"
"144","Negative",18,"existing credits paid back duly till now","furniture/equipment",2462,"less than 100","1 to 4 years",2,"male (single)","none",2,"car or other",22,"none","own",1,"skilled employee / official",1,"none","Yes","bad"
"145","No checking account",21,"critical account/ other credits existing (not at this bank)","furniture/equipment",2288,"less than 100","less than 1 year",4,"female (divorced/separated/married)","none",4,"building society savings agreement/ life insurance",23,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name","Yes","good"
"146","0 - 200",48,"all credits at this bank paid back duly","business",3566,"100 to 500","4 to 7 years",4,"male (single)","none",2,"car or other",30,"none","own",1,"skilled employee / official",1,"none","Yes","good"
"147","Negative",6,"critical account/ other credits existing (not at this bank)","car (new)",860,"less than 100","more than 7 years",1,"female (divorced/separated/married)","none",4,"unknown / no property",39,"none","own",2,"skilled employee / official",1,"yes, registered under the customers name","Yes","good"
"148","No checking account",12,"critical account/ other credits existing (not at this bank)","car (new)",682,"100 to 500","4 to 7 years",4,"female (divorced/separated/married)","none",3,"car or other",51,"none","own",2,"skilled employee / official",1,"yes, registered under the customers name","Yes","good"
"149","Negative",36,"critical account/ other credits existing (not at this bank)","furniture/equipment",5371,"less than 100","1 to 4 years",3,"male (single)","guarantor",2,"building society savings agreement/ life insurance",28,"none","own",2,"skilled employee / official",1,"none","Yes","good"
"150","No checking account",18,"critical account/ other credits existing (not at this bank)","radio/television",1582,"more than 1000","more than 7 years",4,"male (single)","none",4,"car or other",46,"none","own",2,"skilled employee / official",1,"none","Yes","good"
"151","No checking account",6,"existing credits paid back duly till now","radio/television",1346,"100 to 500","more than 7 years",2,"male (single)","none",4,"unknown / no property",42,"bank","for free",1,"skilled employee / official",2,"yes, registered under the customers name","Yes","good"
"152","No checking account",10,"existing credits paid back duly till now","radio/television",1924,"less than 100","1 to 4 years",1,"male (single)","none",4,"building society savings agreement/ life insurance",38,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name","No","good"
"153","Over 200",36,"existing credits paid back duly till now","radio/television",5848,"less than 100","1 to 4 years",4,"male (single)","none",1,"car or other",24,"none","own",1,"skilled employee / official",1,"none","Yes","good"
"154","0 - 200",24,"critical account/ other credits existing (not at this bank)","car (used)",7758,"more than 1000","more than 7 years",2,"female (divorced/separated/married)","none",4,"unknown / no property",29,"none","rent",1,"skilled employee / official",1,"none","Yes","good"
"155","0 - 200",24,"delay in paying off in the past","business",6967,"100 to 500","4 to 7 years",4,"male (single)","none",4,"car or other",36,"none","rent",1,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name","Yes","good"
"156","Negative",12,"existing credits paid back duly till now","furniture/equipment",1282,"less than 100","1 to 4 years",2,"female (divorced/separated/married)","none",4,"car or other",20,"none","rent",1,"skilled employee / official",1,"none","Yes","bad"
"157","Negative",9,"critical account/ other credits existing (not at this bank)","repairs",1288,"100 to 500","more than 7 years",3,"male (single)","guarantor",4,"real estate",48,"none","own",2,"skilled employee / official",2,"none","No","good"
"158","Negative",12,"all credits at this bank paid back duly","retraining",339,"less than 100","more than 7 years",4,"male (married/widowed)","none",1,"car or other",45,"bank","own",1,"unskilled - resident",1,"none","Yes","good"
"159","0 - 200",24,"existing credits paid back duly till now","car (new)",3512,"100 to 500","4 to 7 years",2,"male (single)","none",3,"car or other",38,"bank","own",2,"skilled employee / official",1,"yes, registered under the customers name","Yes","good"
"160","No checking account",6,"critical account/ other credits existing (not at this bank)","radio/television",1898,"unknown / no savings account","1 to 4 years",1,"male (single)","none",2,"real estate",34,"none","own",2,"unskilled - resident",2,"none","Yes","good"
"161","No checking account",24,"critical account/ other credits existing (not at this bank)","radio/television",2872,"100 to 500","more than 7 years",3,"male (single)","none",4,"real estate",36,"none","own",1,"skilled employee / official",2,"yes, registered under the customers name","Yes","good"
